epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.32014,0.96859,2.29603,0.01359,0.85722,0.67381,0.90804,0.66936,1.5399,1.02925,0.0111,0,0,0
2,2.67624,1.15026,2.4518,0.01313,0.89307,0.65337,0.8985,0.66843,1.53077,1.0598,0.01099,1.17822e-06,1.17822e-06,1.17822e-06
3,3.9557,0.95478,2.88932,0.0201,0.86619,0.66936,0.90248,0.6615,1.57336,1.02125,0.0115,2.33288e-06,2.33288e-06,2.33288e-06
4,5.22121,1.32644,2.52472,0.02769,0.86433,0.67364,0.90027,0.66379,1.57964,1.02334,0.01152,3.46397e-06,3.46397e-06,3.46397e-06
5,6.6082,1.35745,2.93719,0.02224,0.85966,0.67534,0.90026,0.66309,1.57595,1.02591,0.0115,4.5715e-06,4.5715e-06,4.5715e-06
6,8.12642,1.14463,1.96487,0.01427,0.85739,0.67703,0.90038,0.6622,1.55697,1.05232,0.01139,5.65548e-06,5.65548e-06,5.65548e-06
7,9.48872,1.32013,2.73155,0.0126,0.85752,0.67767,0.9004,0.66215,1.55626,1.05155,0.01132,6.71588e-06,6.71588e-06,6.71588e-06
8,10.9351,1.02212,2.13805,0.01061,0.86287,0.67647,0.90441,0.67894,1.57893,1.02422,0.01139,7.75273e-06,7.75273e-06,7.75273e-06
9,12.3547,1.21762,3.23977,0.01833,0.85553,0.67865,0.90439,0.6785,1.55484,1.05593,0.01126,8.76602e-06,8.76602e-06,8.76602e-06
10,13.8794,1.06218,2.43278,0.01014,0.84671,0.68333,0.90437,0.67752,1.55132,1.062,0.01122,9.75574e-06,9.75574e-06,9.75574e-06
11,15.2557,1.17905,2.75017,0.01453,0.97797,0.61682,0.90425,0.67618,1.55502,1.09546,0.01127,1.07219e-05,1.07219e-05,1.07219e-05
12,16.6526,0.95679,2.21112,0.01054,0.96893,0.61862,0.90429,0.66955,1.55371,1.1078,0.01122,1.16645e-05,1.16645e-05,1.16645e-05
13,18.0085,0.94496,1.99452,0.0147,0.83207,0.6851,0.90612,0.66869,1.55021,1.08141,0.01119,1.25835e-05,1.25835e-05,1.25835e-05
14,19.3684,1.27226,2.17262,0.01624,0.96495,0.61955,0.90213,0.66813,1.54642,1.10121,0.01115,1.3479e-05,1.3479e-05,1.3479e-05
15,20.7288,1.04966,1.84336,0.01301,0.96183,0.62068,0.89856,0.66592,1.54706,1.12383,0.01112,1.43509e-05,1.43509e-05,1.43509e-05
16,22.0792,1.02131,2.58597,0.02273,0.95698,0.6209,0.89635,0.66148,1.53039,1.14197,0.01093,1.51993e-05,1.51993e-05,1.51993e-05
17,23.4307,1.16346,2.28283,0.01599,0.82608,0.68523,0.88945,0.66733,1.53101,1.10846,0.01091,1.60241e-05,1.60241e-05,1.60241e-05
18,24.7765,1.22058,2.20784,0.01551,0.82608,0.68523,0.88945,0.66733,1.53101,1.10846,0.01091,1.68253e-05,1.68253e-05,1.68253e-05
19,26.285,1.08082,1.8948,0.0116,0.82385,0.68391,0.88948,0.68395,1.52243,1.12663,0.01064,1.7603e-05,1.7603e-05,1.7603e-05
20,27.6869,1.07382,1.88422,0.01617,0.82385,0.68391,0.88948,0.68395,1.52243,1.12663,0.01064,1.83571e-05,1.83571e-05,1.83571e-05
21,29.0566,1.08811,3.23946,0.02015,0.93444,0.62196,0.88851,0.68157,1.51565,1.17377,0.01033,1.90876e-05,1.90876e-05,1.90876e-05
22,30.3596,0.93421,2.13198,0.01474,0.93444,0.62196,0.88851,0.68157,1.51565,1.17377,0.01033,1.97946e-05,1.97946e-05,1.97946e-05
23,31.7889,1.48286,2.42626,0.01657,0.94677,0.62515,0.88711,0.68382,1.51865,1.1674,0.01018,2.0478e-05,2.0478e-05,2.0478e-05
24,33.1853,1.17563,1.93555,0.01431,0.94677,0.62515,0.88711,0.68382,1.51865,1.1674,0.01018,2.11379e-05,2.11379e-05,2.11379e-05
25,34.6263,1.01853,2.53146,0.01512,0.90765,0.61833,0.88642,0.676,1.5287,1.17366,0.01029,2.17741e-05,2.17741e-05,2.17741e-05
26,36.1278,1.09763,2.08836,0.01718,0.90765,0.61833,0.88642,0.676,1.5287,1.17366,0.01029,2.23869e-05,2.23869e-05,2.23869e-05
27,37.5697,1.20937,1.84836,0.01359,0.91288,0.62042,0.88669,0.69188,1.53119,1.18998,0.0103,2.2976e-05,2.2976e-05,2.2976e-05
28,39.0241,1.10639,2.00812,0.01588,0.91288,0.62042,0.88669,0.69188,1.53119,1.18998,0.0103,2.35417e-05,2.35417e-05,2.35417e-05
29,40.4905,1.58024,1.96824,0.01636,0.9239,0.61405,0.88171,0.6909,1.53749,1.20147,0.01028,2.40837e-05,2.40837e-05,2.40837e-05
30,41.9201,0.89729,1.81959,0.01125,0.9239,0.61405,0.88171,0.6909,1.53749,1.20147,0.01028,2.46022e-05,2.46022e-05,2.46022e-05
31,43.3633,0.98268,1.88057,0.01198,0.76121,0.6649,0.8537,0.67561,1.54106,1.21481,0.01025,2.50971e-05,2.50971e-05,2.50971e-05
32,44.8814,1.05411,2.09484,0.01053,0.76121,0.6649,0.8537,0.67561,1.54106,1.21481,0.01025,2.55685e-05,2.55685e-05,2.55685e-05
33,46.2006,1.15072,2.32212,0.01699,0.67158,0.69448,0.84019,0.66043,1.55087,1.25509,0.01033,2.60163e-05,2.60163e-05,2.60163e-05
34,47.5481,0.94221,1.50269,0.01919,0.67158,0.69448,0.84019,0.66043,1.55087,1.25509,0.01033,2.64405e-05,2.64405e-05,2.64405e-05
35,49.0456,1.01825,1.8925,0.01061,0.67155,0.69771,0.81262,0.64735,1.61738,1.17717,0.01079,2.68412e-05,2.68412e-05,2.68412e-05
